Šifra naselja;Naziv naselja;Poštanski ured;Minimalni rok uručenja;Maksimalna masa (g);Dostava subotom;Dostava u određeno vrijeme
1001;Sljeme;10000; ; ; ; 
1002;Zagreb-dio;10000; ; ; ; 
1003;Buzin ;10010;2 (drugi dan do 15 sati); ; ; 
1004;Veliko Polje;10010;2 (drugi dan do 15 sati); ; ; 
1005;Zagreb-dio;10010; ; ; ; 
1006;Botinec ;10020;2 (drugi dan do 15 sati); ; ; 
1007;Donji Čehi ;10020;2 (drugi dan do 15 sati); ; ; 
1008;Gornji Čehi;10020;2 (drugi dan do 15 sati); ; ; 
1009;Hrašće Turopoljsko;10020;2 (drugi dan do 15 sati); ; ; 
1010;Mala Mlaka;10020;2 (drugi dan do 15 sati); ; ; 
1011;Odra;10020;2 (drugi dan do 15 sati); ; ; 
1012;Odranski Obrež ;10020;2 (drugi dan do 15 sati); ; ; 
1013;Strmec;10020;2 (drugi dan do 15 sati); ; ; 
1014;Zagreb-dio;10020; ; ; ; 
1015;Zagreb-dio;10040; ; ; ; 
1016;Zagreb-dio;10090; ; ; ; 
8047;Zagreb-dio;10104; ; ;Ne;Ne
8048;Zagreb-dio;10105; ; ;Ne;Ne
8049;Zagreb-dio;10108; ; ;Ne;Ne
8052;Zagreb-dio;10109; ; ;Ne;Ne
1017;Zagreb-Trešnjevka;10110; ; ; ; 
8050;Zagreb-dio;10135; ; ;Ne;Ne
7987;Zagreb-dio;10147; ; ;Ne;Ne
1018;Ježdovec ;10250;2 (drugi dan do 15 sati); ;Ne;Ne
1019;Lučko;10250; ; ; ; 
1032;Donji Stupnik ;10255;2 (drugi dan do 15 sati); ;Ne;Ne
1033;Gornji Stupnik;10255; ; ; ; 
1034;Obrež Stupnički ;10255;2 (drugi dan do 15 sati); ;Ne;Ne
1569;Horvati ;10255;2 (drugi dan do 15 sati); ;Ne;Ne
1570;Kalinovica;10255;2 (drugi dan do 15 sati); ;Ne;Ne
1571;Rakov Potok ;10255;2 (drugi dan do 15 sati); ;Ne;Ne
1572;Žitarka;10255;2 (drugi dan do 15 sati); ;Ne;Ne
1020;Demerje ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1021;Hrvatski Leskovac ;10257; ; ; ; 
1022;Bukovčak ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1023;Donji Dragonožec ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1024;Donji Trupci;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1025;Gornji Dragonožec;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1026;Gornji Trupci ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1029;Havidić Selo ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1030;Lipnica ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1035;Brezovica ;10257; ; ;Ne;Ne
1036;Brebernica;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1037;Desprim ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1038;Drežnik Brezovički;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1039;Goli Breg ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1040;Graničari;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1041;Hudi Bitek;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1042;Kupinečki Kraljevec;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1043;Stavjak ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1044;Zadvorsko ;10257;2 (drugi dan do 15 sati); ;Ne;Ne
1045;Ivanec Bistranski ;10290;2 (drugi dan do 15 sati); ;Ne;Ne
1046;Lužnica;10290;2 (drugi dan do 15 sati); ;Ne;Ne
1047;Šibice ;10290;2 (drugi dan do 15 sati); ;Ne;Ne
1048;Zaprešić;10290;2 (drugi dan do 15 sati); ;Ne;Ne
1075;Bregovljana ;10290;2 (drugi dan do 15 sati); ;Ne;Ne
1076;Celine Pušćanske;10290;4 (treći dan do 20 sati); ;Ne;Ne
1077;Donja Pušća ;10290;2 (drugi dan do 15 sati); ;Ne;Ne
